Tại sao Trái Đất không tròn hoàn hảo?,Điểm cao nhất tính từ tâm Trái Đất không phải đỉnh Everest mà là núi lửa Chimborazo do hình dạng của hành tinh xanh không hoàn hảo.,https://vnexpress.net/tai-sao-trai-dat-khong-tron-hoan-hao-4447061.html
Title,Description,Link
Hươu cao cổ mẹ ngăn linh cẩu ăn xác con,"NAM PHIDù con non đã chết, hươu cao cổ mẹ vẫn quanh quẩn gần đó và nỗ lực xua đuổi linh cẩu chạm vào xác con.",https://vnexpress.net/huou-cao-co-me-ngan-linh-cau-an-xac-con-4447785.html
Title,Description,Link
Máy bay chim cắt phủ kín pin mặt trời,Nhà thiết kế Hungary đưa ra ý tưởng về mẫu máy bay chạy bằng năng lượng mặt trời không phát thải với đôi cánh lớn và cong độc đáo.,https://vnexpress.net/may-bay-chim-cat-phu-kin-pin-mat-troi-4447804.html
Title,Description,Link
Nghi vấn mảnh vỡ tên lửa Trung Quốc rơi xuống Ấn Độ,Vòng kim loại và khối cầu lớn có thể thuộc về tên lửa Trường Chinh 3B rơi xuống một ngôi làng ở vùng hẻo lánh phía tây Ấn Độ.,https://vnexpress.net/nghi-van-manh-vo-ten-lua-trung-quoc-roi-xuong-an-do-4447522.html
Title,Description,Link
Pin đóng băng - rã đông giúp tích trữ điện nhiều tháng,"MỸCác nhà khoa học phát triển loại pin mới để tích trữ điện trong thời gian dài với chi phí vật liệu thấp, khoảng 23 USD mỗi kWh.",https://vnexpress.net/pin-dong-bang-ra-dong-giup-tich-tru-dien-nhieu-thang-4447764.html
Title,Description,Link
Tiểu hành tinh 740 m bay về phía Trái Đất,Dữ liệu của NASA cho thấy tiểu hành tinh 418135 (2008 AG33) sẽ bay gần Trái Đất nhất vào cuối tháng 4.,https://vnexpress.net/tieu-hanh-tinh-740-m-bay-ve-phia-trai-dat-4447499.html
Title,Description,Link
Phát hiện 'sao Mộc thứ hai' cách 17.000 năm ánh sáng,Phân tích kho dữ liệu hình ảnh cũ từ kính viễn vọng không gian Kepler tiết lộ một ngoại hành tinh khí khổng lồ rất giống sao Mộc.,https://vnexpress.net/phat-hien-sao-moc-thu-hai-cach-17-000-nam-anh-sang-4447511.html
Title,Description,Link
Quan tài giấy chịu được sức nặng 160 kg,"HONG KONGQuan tài giấy giúp tiết kiệm vật liệu, nhẹ bằng 20% trọng lượng quan tài truyền thống và giảm đến 90% khí thải khi hỏa táng.",https://vnexpress.net/quan-tai-giay-chiu-duoc-suc-nang-160-kg-4447528.html
Title,Description,Link
Lều cứu hộ lấy cảm hứng từ gấu Bắc Cực,Nhóm sinh viên đến từ Viện hàn lâm Hoàng gia Đan Mạch thiết kế lều lấy cảm hứng từ gấu Bắc Cực với lớp vỏ gấp kiểu origami biến tuyết thành lớp cách nhiệt tự nhiên.,https://vnexpress.net/leu-cuu-ho-lay-cam-hung-tu-gau-bac-cuc-4447497.html
Title,Description,Link
Hyundai phát triển máy bay hydro cất cánh thẳng đứng,Hãng sản xuất ôtô Hyundai của Hàn Quốc đang nhắm đến thị trường hàng không với kế hoạch ra mắt máy bay hydro đầu tiên vào năm 2028.,https://vnexpress.net/hyundai-phat-trien-may-bay-hydro-cat-canh-thang-dung-4447509.html
Title,Description,Link
Ngôi mộ nguyên vẹn 4.000 năm của nữ hoàng Ai Cập,Ngôi mộ của nữ hoàng Hetepheres được phát hiện không lâu sau mộ vua Tutakhamun và chứa nhiều đồ vật quý giá.,https://vnexpress.net/ngoi-mo-nguyen-ven-4-000-nam-cua-nu-hoang-ai-cap-4447425.html
Title,Description,Link
Trạm điện Mặt Trời ngoài vũ trụ hoạt động thế nào?,Trạm điện Mặt Trời trên không gian nhận được ánh sáng liên tục 24 tiếng mỗi ngày nhưng đòi hỏi chi phí lớn và rủi ro hỏng hóc cao.,https://vnexpress.net/tram-dien-mat-troi-ngoai-vu-tru-hoat-dong-the-nao-4447068.html
Title,Description,Link
Phản ứng của cá heo khi thấy bong bóng nhân tạo,Chuyên gia động vật biển có vú Stan Kuczaj thực hiện một thí nghiệm rất thú vị để kiểm tra tính tò mò của những con cá heo mũi chai.,https://vnexpress.net/phan-ung-cua-ca-heo-khi-thay-bong-bong-nhan-tao-4446822.html
Title,Description,Link
Sinh vật được ví như ác mộng dưới đáy đại dương,Cá sao không chỉ đáng sợ với khuôn mặt như quái vật mà còn bởi nọc độc có thể gây chết người và kỹ năng săn mồi nhanh như chớp.,https://vnexpress.net/sinh-vat-duoc-vi-nhu-ac-mong-duoi-day-dai-duong-4447085.html
Title,Description,Link
Hệ thống quản lý giao thông thông minh nhất thế giới,"AUSTRALIADự án mới ở Melbourne sẽ sử dụng AI, thuật toán học sâu và mô hình dự đoán để giảm thời gian di chuyển, khí thải và tắc nghẽn giao thông.",https://vnexpress.net/he-thong-quan-ly-giao-thong-thong-minh-nhat-the-gioi-4447382.html
Title,Description,Link
Lý do khủng long bạo chúa có hai chi trước rất nhỏ,Nghiên cứu mới cho thấy hai cánh tay ngắn của khủng long bạo chúa T-rex là một cách tiến hóa giúp chúng giảm rủi ro bị thương khi săn mồi.,https://vnexpress.net/ly-do-khung-long-bao-chua-co-hai-chi-truoc-rat-nho-4447069.html
Title,Description,Link
Bình thức ăn tỏa hương 3.400 năm trong lăng mộ Ai Cập,"Kết quả phân tích mùi hương từ các bình cổ trong lăng mộ Ai Cập hé lộ, chúng từng đựng sáp ong, trái cây và cá khô cho người chết.",https://vnexpress.net/binh-thuc-an-toa-huong-3-400-nam-trong-lang-mo-ai-cap-4447067.html
Title,Description,Link
Sét đánh trúng bệ phóng tên lửa NASA,MỸBệ phóng 39B ở Trung tâm vũ trụ Kennedy tại Florida bị sét đánh trúng vài lần hôm 2/4 nhưng siêu tên lửa SLS cao hơn 100 m vẫn trong tình trạng tốt.,https://vnexpress.net/set-danh-trung-be-phong-ten-lua-nasa-4447050.html
Title,Description,Link
Robot bò như đỉa trong hệ tiêu hóa của người,"HONG KONGRobot nhầy từ tính được điều khiển bằng nam châm, có khả năng thay đổi hình dạng linh hoạt khi di chuyển qua không gian hẹp.",https://vnexpress.net/robot-bo-nhu-dia-trong-he-tieu-hoa-cua-nguoi-4447059.html
Title,Description,Link
Mô tim in 3D có thể duy trì nhịp đập trong 6 tháng,TRUNG QUỐCMột nhóm nhà nghiên cứu quốc tế phát triển phương pháp in mới giúp tạo ra mô tim có khả năng sống sót trong ống nghiệm và hoạt động trong thời gian dài.,https://vnexpress.net/mo-tim-in-3d-co-the-duy-tri-nhip-dap-trong-6-thang-4447078.html
